Player;height;weight;games;min_year;draft_age;completion;yards_per_pass;TD-INT;TD_per_pass;rush_pass_ratio;pass_per_game;sack_per_game;drafted
Baker;73;215;16;2018;23;1,615778689;11,86680328;1,795454545;0,080942623;0,081800888;32,85416667;1,916666667;1
Big Ben;77;240;15;2004;22;1,554991846;11,97771335;1,877729258;0,077912665;0,08634351;33,65490196;2,223529412;1
Brady;76;225;16,47619048;2000;23;1,567985794;11,62519026;2,899563319;0,084221208;0,060588901;35,7283237;1,713872832;1
Carr;75;210;15,71428571;2014;23;1,551863857;10,89789303;2,394366197;0,068881686;0,060574413;34,81818182;1,790909091;1
Cousins;75;205;12,55555556;2012;24;1,496237624;11,5429703;2,270588235;0,076435644;0,062202223;33,43362832;2,008849558;1
Dak;74;238;14,4;2016;23;1,516455696;11,66329114;2,642857143;0,070253165;0,112270451;33,27777778;2,083333333;1
Darnold;75;225;12,66666667;2018;21;1,672153635;11,10699588;1,153846154;0,061728395;0,093519278;32,07894737;2,578947368;1
Garoppolo;74;225;7,428571429;2014;23;1,487068966;12,16810345;1,827586207;0,076149425;0,110144928;19,90384615;1,538461538;1
Goff;76;217;15;2016;22;1,587628866;11,80776228;1,947368421;0,067313523;0,067608862;34,90666667;1,906666667;1
Josh Allen;77;237;16;2018;22;1,62113127;11,51334045;2,25;0,076840982;0,219881501;31,64583333;2,145833333;1
Lamar;74;212;16,66666667;2018;21;1,58797654;11,70821114;3,086956522;0,104105572;0,494921514;21,66;1,74;1
Mahomes;75;227;13,5;2017;22;1,523371648;12,62528736;4,678571429;0,100383142;0,107645875;36,81481481;1,574074074;1
Rodgers;74;225;13,625;2005;22;1,538396979;11,94167016;4,480392157;0,095887537;0,127795963;33,63302752;2,371559633;1
Ryan;76;217;16,53846154;2008;23;1,527037618;11,44964734;2,224242424;0,071904389;0,060302797;36,25116279;2,023255814;1
Stafford;75;220;14;2009;21;1,596424975;11,58534743;1,945578231;0,072004028;0,055354045;37,74404762;2,327380952;1
Tannehill;76;217;15;2012;24;1,568987078;11,475198;2,044444444;0,076698624;0,09272051;31,36666667;2,575;1
Wentz;77;237;13,8;2016;24;1,596928983;10,75751759;2,26;0,072296865;0,103365385;36,17391304;2,608695652;1
Wilson;71;215;17,77777778;2012;24;1,546365105;12,19127625;3,139784946;0,094345719;0,185123276;29,9125;2,76875;1
